cause,cases,injured,died,share_cases,year,scope,aggregation_level,source_file,source_type,source_name,source_url
Dangerous or Careless Driving//Over-taking/etc.,110064,103306,41035,23.7,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Over speeding,284733,281026,101841,61.4,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Driving under Influence of Drug/Alcohol,7895,7038,3688,1.7,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Physical Fatigue of Drivers,2762,2439,1338,0.6,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Defect in Mechanical Condition of Motor Vehicle,3243,3078,1758,0.7,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Animal Crossing,3487,2956,2033,0.8,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Poor Visibility,6040,4724,3236,1.3,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Others Causes of Weather Condition,3629,2937,1716,0.8,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Lack of Road Infrastructure,2594,2343,1275,0.6,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Vehicles Parking at Road Shoulders,3110,3418,1296,0.7,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Causes Not Known,6328,5257,2462,1.4,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Other Causes,30144,29447,12148,6.5,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
Unmanned Railway Crossing Accidents,0,0,0,0.0,2023,India,All-India aggregate,NCRB_ADSI_2023_Table_1A.8.csv,cause_wise,NCRB ADSI 2023 Table 1A.8,https://www.data.gov.in/catalog/accidental-deaths-suicides-india-adsi-2023
