state,year,road_category,accidents,source_file,source_type,source_name,source_url,source_year,source_granularity
Agra,2019,T-Junction,71.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Ahmedabad,2019,T-Junction,187.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Allahabad(Prayagraj),2019,T-Junction,130.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Amritsar,2019,T-Junction,6.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Asansol Durgapur,2019,T-Junction,52.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Aurangabad,2019,T-Junction,71.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Bengaluru,2019,T-Junction,786.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Bhopal,2019,T-Junction,362.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Chandigarh,2019,T-Junction,5.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Coimbatore,2019,T-Junction,135.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Chennai,2019,T-Junction,481.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Delhi,2019,T-Junction,717.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Dhanbad,2019,T-Junction,56.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Faridabad,2019,T-Junction,7.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Ghaziabad,2019,T-Junction,52.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Gwalior,2019,T-Junction,230.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Hyderabad,2019,T-Junction,286.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Indore,2019,T-Junction,916.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Jabalpur,2019,T-Junction,962.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Jaipur,2019,T-Junction,348.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Jamshedpur,2019,T-Junction,59.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Jodhpur,2019,T-Junction,76.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Kannur,2019,T-Junction,109.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Kanpur,2019,T-Junction,54.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Khozikode,2019,T-Junction,344.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Kochi,2019,T-Junction,411.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Kolkata,2019,T-Junction,485.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Kollam,2019,T-Junction,621.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Kota,2019,T-Junction,47.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
Lucknow,2019,T-Junction,250.0,RA2019_A49.csv,road_classification,Official Government CSV,https://www.data.gov.in/catalog/road-accidents-india-2019,2019,State/UT
