Sl. No.,Mode of Transport,Number of Persons Travelling in the Involved Mode of Transport - Injured,Number of Persons Travelling in the Involved Mode of Transport - Died,Percentage Share of Injured,Percentage Share of Deaths
1.1,Truck/Lorry/Mini Truck,24123,13823,5.4,8
1.2,Bus,23604,5033,5.3,2.9
1.3,SUV/Car/Jeep/etc.,77114,24776,17.2,14.3
1.4,Tractor,5583,3565,1.2,2.1
1.5,Three Wheeler/Auto Rickshaw (Total),25939,7160,5.8,4.1
1.5.1,Passenger Carriers,23274,5874,5.2,3.4
1.5.2,Good Carriers,2665,1286,0.6,0.7
1.6,Two Wheeler,210971,79533,47.1,45.8
1.7,Other Motor Vehicles,12529,5175,2.8,3
Total (Motorized Transport),Total (Motorized Transport),379863,139065,84.8,80
2.1,Bicycle,6917,3367,1.5,1.9
2.2,Hand Drawn Vehicle/Cycle Rickshaw,850,406,0.2,0.2
2.3,Animal Drawn Vehicle,352,278,0.1,0.2
2.4,Others,5707,3124,1.3,1.8
2.5,Pedestrian,54280,27586,12.1,15.9
Total (Non-Motorized Transport),Total (Non-Motorized Transport),68106,34761,15.2,20
Grand Total,Grand Total,447969,173826,100,100
