Sl. No.,Cause,Number of Cases,Persons Injured - Male,Persons Injured - Female,Persons Injured - Transgender,Persons Injured - Total,Persons Died - Male,Persons Died - Female,Persons Died - Transgender,Persons Died - Total,Percentage Share (Cases)
1,Dangerous or Careless Driving//Over-taking/etc.,110064,81465,21839,2,103306,35047,5988,0,41035,23.7
2,Over speeding,284733,220472,60543,11,281026,87254,14582,5,101841,61.4
3,Driving under Influence of Drug/Alcohol,7895,5805,1233,0,7038,3270,418,0,3688,1.7
4,Physical Fatigue of Drivers,2762,1701,737,1,2439,1136,202,0,1338,0.6
5,Defect in Mechanical Condition of Motor Vehicle,3243,2356,722,0,3078,1493,265,0,1758,0.7
6,Animal Crossing,3487,2179,777,0,2956,1646,387,0,2033,0.8
7,Weather Condition (Total),9669,6138,1523,0,7661,4193,759,0,4952,2.1
7.1,Poor Visibility,6040,3724,1000,0,4724,2725,511,0,3236,1.3
7.2,Others Causes of Weather Condition,3629,2414,523,0,2937,1468,248,0,1716,0.8
8,Lack of Road Infrastructure,2594,1850,493,0,2343,1092,183,0,1275,0.6
9,Vehicles Parking at Road Shoulders,3110,2619,799,0,3418,1104,192,0,1296,0.7
10,Causes Not Known,6328,4231,1025,1,5257,2101,360,1,2462,1.4
11,Other Causes,30144,22847,6598,2,29447,10440,1707,1,12148,6.5
Total Road Accidents,Total Road Accidents,464029,351663,96289,17,447969,148776,25043,7,173826,100
12,Unmanned Railway Crossing Accidents,0,0,0,0,0,0,0,0,0,0
Grand Total,Grand Total,464029,351663,96289,17,447969,148776,25043,7,173826,100
